motif_name,category,symbolic_meaning,common_variations,best_pairings,overuse_warning,prompt_phrases
crystals,crystalline,energy clarity healing,"quartz points,clusters,prism towers,geodes",mirrors;moonlight;satin,can become generic,"crystal clusters,rainbow refracting quartz,glowing gemstones"
prisms,crystalline,light transformation spectrum,"prism towers,rainbow shards,spectral glass",sunlight;mist;satin,use sparingly,"prism light scatter,rainbow refraction,spectral flare"
opal,crystalline,iridescent mystery,"opal surfaces,opal jewelry,opal temples",pearl;lavender;silver,avoid overuse,"opal shimmer,iridescent opal glow,opaline surfaces"
quartz,crystalline,purity amplification,"clear quartz,rose quartz,amethyst quartz",moonlight;water;veils,balance with other motifs,"giant quartz points,rose quartz temple walls"
mirrors,reflection,self knowledge infinity,"mirrored corridors,reflective floors,mirror portals",crystals;moonlight;satin,can feel cold alone,"mirrored crystal temple,infinite mirror reflections"
reflective water,reflection,depth emotion unconscious,"black water pools,silver fountains,liquid mirrors",moonlight;crystals;stars,avoid literal realism,"reflective black water,moonlit water surface"
moon discs,celestial,feminine cycles intuition,"full moon,halo moon,moon portals",veils;lavender;silver,classic but essential,"giant moon disc,moon halo backdrop"
stars,celestial,destiny guidance aspiration,"star fields,constellations,falling stars",crystals;deep space;portals,avoid generic starfield,"radiant constellations,star-curtain backdrop"
portals,initiatory,transformation passage,"moon gates,temple doorways,light arches",threshold light;mist;crystals,use with intention,"luminous portal,glowing temple doorway"
pyramids,initiatory,ascension ancient wisdom,"crystal pyramids,glowing pyramids,step pyramids",moonlight;desert;stars,can feel too Egyptian,"glowing crystal pyramid,mystical pyramid temple"
temples,initiatory,sacred space worship,"crystal temples,moon temples,mirrored temples",portals;stairs;altars,avoid generic fantasy,"mirrored crystal temple,moonlit sacred hall"
veils,devotional,mystery concealment revelation,"chiffon veils,sheer curtains,translucent drapes",moonlight;portals;priestess,use for drama,"flowing veils,translucent chiffon drapes"
halos,devotional,divinity sanctity,"moon halos,aura rings,glow circles",backlight;mist;pearls,classic symbol,"radiant halo,golden aura ring"
crowns,devotional,authority sovereignty,"moon crowns,crystal tiaras,star circlets",jewelry;veils;lavender,avoid medieval tropes,"jeweled moon crown,crystal tiara"
satin,textile,luxury sensuality,"pink satin,lavender satin,silver lamé",crystals;moonlight;jewelry,essential material,"flowing satin gown,shimmering lamé robes"
silk,textile,softness elegance,"silk robes,silk veils,silk draping",pearls;soft light;mist,classic pairing,"flowing silk drapery,translucent silk"
chiffon,textile,ethereal lightness,"chiffon veils,chiffon overlays",backlight;moonlight;flowers,delicate accent,"sheer chiffon layers,ethereal chiffon"
mushrooms,organic,magic fairy otherworld,"glowing mushrooms,pastel toadstools,bioluminescent fungi",moss;crystals;moonlight,can feel too cottagecore,"glowing pastel mushrooms,mystical fungi"
moss,organic,age enchantment softness,"velvet moss,glowing moss,moss carpets",crystals;mushrooms;water,balance with glam elements,"soft velvet moss,glowing green moss"
butterflies,organic,transformation beauty,"jewel butterflies,glowing moths,luminous wings",flowers;mist;rainbow,use sparingly,"jewel-toned butterflies,luminous winged creatures"
swans,creature,grace purity beauty,"white swans,jeweled swans,swan boats",reflective water;pearls;lavender,classic symbol,"jeweled white swan,graceful swan on black water"
doves,creature,peace spirit love,"white doves,glowing doves,dove pairs",pearls;halos;soft light,gentle symbol,"luminous white doves,pair of glowing doves"
white horses,creature,purity power freedom,"white stallions,moon horses,unicorns",desert;stars;portals,use with care,"ethereal white horse,moonlit stallion"
