style_name,relationship,shared_traits,key_differences,drift_risk,notes
synthwave,adjacent,retro nostalgia neon color,graphic futurism urban car culture,high,hard edges vs soft diffusion
vaporwave,adjacent,nostalgia pastel retro media,collage irony detachment,high,irony vs sincerity
cyberpunk,distant,artificial light futurity,urban tech noir machines,very high,systems vs spirituality
dark fantasy,distant,symbolism ritual atmosphere,fear dread horror,high,wonder vs dread
epic fantasy,distant,myth grandeur fantasy,warriors battles medieval,medium,oracle vs warrior
contemporary editorial,distant,beauty styling art direction,clean modern minimal,high,retro vs contemporary
bohemian spiritual,adjacent,spirituality feminine ritual,earthy natural rustic,medium,gloss vs earth
generic ethereal,distant,glow stars fantasy beauty,vague no specificity,very high,structure vs randomness
y2k futurism,distant,futurity chrome,2000s sleek digital,high,analog vs digital
prog rock art,adjacent,theatrical fantasy symbolic,70s specific album focus,low,strong influence
new age album art,adjacent,spiritual cosmic pastel,less glamour more meditation,low,strong influence
80s fantasy cinema,adjacent,practical effects glam,specific film references,low,strong influence
airbrush art,adjacent,soft gradients fantasy,illustration specific,low,strong influence
occult soft,adjacent,mystery symbolism elegance,darker lunar aesthetic,low,can blend well
